,Referrer,Day,Hour,Application,Catalog,Discount,Howtojoin,Insurance,Whoweare
0,URI_38,Sunday,"(18.0, 24.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
1,URI_0,Sunday,"(18.0, 24.0]","(-0.001, 1.0]","(300.0, 10000.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
2,URI_0,Monday,"(-0.001, 6.0]","(-0.001, 1.0]","(300.0, 10000.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
3,URI_45,Monday,"(-0.001, 6.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
4,URI_9,Monday,"(-0.001, 6.0]","(-0.001, 1.0]","(1.0, 300.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
5,URI_16,Monday,"(-0.001, 6.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
6,URI_44,Monday,"(6.0, 12.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
7,URI_80,Monday,"(6.0, 12.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(1.0, 300.0]"
8,URI_42,Monday,"(6.0, 12.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
9,URI_93,Monday,"(6.0, 12.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
10,URI_80,Monday,"(6.0, 12.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
11,URI_101,Monday,"(6.0, 12.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
12,URI_9,Monday,"(6.0, 12.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
13,URI_42,Monday,"(6.0, 12.0]","(-0.001, 1.0]","(1.0, 300.0]","(1.0, 300.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]"
14,URI_42,Monday,"(6.0, 12.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
15,URI_39,Monday,"(6.0, 12.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
16,URI_0,Monday,"(6.0, 12.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
17,URI_0,Monday,"(6.0, 12.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
18,URI_45,Monday,"(6.0, 12.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
19,URI_42,Monday,"(6.0, 12.0]","(-0.001, 1.0]","(1.0, 300.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]"
