LocalID,PageID,VisitID,PageName,CatName,CatID,ExtCatName,ExtCatID,TopicName,TopicID,TimeOnPage,PageScore,SequenceNumber
648460,3044,1185,TravelAgency,Info,1,homepage,1,In general,1000,30,30,1
648461,3045,1185,tours with tents,Search,2,Catalog,5,Tourism,1,30,50,2
648462,3046,1185,hiking,Search,2,Catalog,5,Hiking,3,30,62,3
648463,3047,1185,mountain expedition,Search,2,Catalog,5,VHT,21,30,71,4
648464,3048,1185,water,Search,2,Catalog,5,Water,2,30,78,5
648465,3049,1185,rafting,Search,2,Catalog,5,rafting,24,30,83,6
648466,3050,1186,Norway journey to the far north Lofoten,Trip,3,undetected,-1,Tourism,1,300,300,1
648467,3051,1186,National parks and thermal Hungary and Slovakia,Trip,3,undetected,-1,Tourism,1,30,50,2
648468,3044,1187,TravelAgency,Info,1,homepage,1,In general,1000,30,30,1
648469,3046,1187,hiking,Search,2,Catalog,5,Hiking,3,60,101,2
648470,3049,1187,rafting,Search,2,Catalog,5,rafting,24,30,62,3
648471,3048,1187,water,Search,2,Catalog,5,Water,2,30,71,4
648472,3047,1187,mountain expedition,Search,2,Catalog,5,VHT,21,60,156,5
648473,3052,1187,Far tours,Search,2,Catalog,5,exotica,5,30,83,6
648474,3053,1187,light hiking,Search,2,Catalog,5,Neni,-1,60,176,7
648475,3054,1187,Corsica,Search,2,Catalog,5,Corsica,11,30,92,8
648476,3055,1187,lefkada,Search,2,Catalog,5,Neni,-1,30,95,9
648477,3056,1187,stays with trips,Search,2,Catalog,5,Stays with trips,6,60,198,10
648478,3057,1187,hotelbuses,Search,2,Catalog,5,hotelbuses,17,30,101,11
648479,3058,1187,lastminute,Search,2,Catalog,5,Lastminute,101,30,104,12
648480,3059,1188,Poland Great Circle Poland,Trip,3,undetected,-1,Tours with accommodation,8,30,30,1
648481,3044,1189,TravelAgency,Info,1,homepage,1,In general,1000,60,60,1
648482,3052,1189,Far tours,Search,2,Catalog,5,exotica,5,240,406,2
648484,3063,1189,expedition,Search,2,Catalog,5,challenging expedition,18,120,286,4
648483,3062,1189,n news Trips,Info,4,sends news,6,In general,1000,60,125,3
648485,3062,1189,n news Trips,Info,4,sends news,6,In general,1000,30,78,5
648486,3064,1189,tours and holiday comes into hotel,Search,2,extension,3,In general,1000,60,167,6
648487,3065,1189,CATALOG,Info,4,Send catalog,7,In general,1000,30,88,7
648489,3046,1190,hiking,Search,2,Catalog,5,Hiking,3,30,50,2
648488,3060,1190,n news Trips,Info,4,sends news,6,In general,1000,180,180,1
648490,3061,1191,04 05 New Year&#39;s Eve New Year&#39;s Eve bikaoský Ruthenia winter ski holidays,Trip,3,undetected,-1,Ski,9,30,30,1
648491,3044,1192,TravelAgency,Info,1,homepage,1,In general,1000,30,30,1
648493,3044,1192,TravelAgency,Info,1,homepage,1,In general,1000,30,62,3
648497,3044,1192,TravelAgency,Info,1,homepage,1,In general,1000,60,176,7
648492,3058,1192,lastminute,Search,2,Catalog,5,Lastminute,101,120,203,2
648498,3067,1192,Aeolian Islands,Search,2,Catalog,5,Lipari,10,30,92,8
648495,3064,1192,tours and holiday comes into hotel,Search,2,extension,3,In general,1000,60,156,5
648494,3066,1192,DISCOUNT,Info,4,Sales,8,In general,1000,60,143,4
648496,3066,1192,DISCOUNT,Info,4,Sales,8,In general,1000,30,83,6
648499,3044,1193,TravelAgency,Info,1,homepage,1,In general,1000,30,30,1
648500,3068,1194,Southern Albania with residence in Corfu,Trip,3,undetected,-1,Stays with trips,6,30,30,1
648501,3061,1195,04 05 New Year&#39;s Eve New Year&#39;s Eve bikaoský Ruthenia winter ski holidays,Trip,3,undetected,-1,Ski,9,30,30,1
648502,3069,1196,04 New Year&#39;s Eve New Year&#39;s Eve bikaoský Ruthenia winter ski holidays,Trip,3,undetected,-1,Ski,9,30,30,1
648503,3061,1197,04 05 New Year&#39;s Eve New Year&#39;s Eve bikaoský Ruthenia winter ski holidays,Trip,3,undetected,-1,Ski,9,30,30,1
648504,3070,1198,lunice mecca for boaters,Trip,3,undetected,-1,Water,2,30,30,1
648506,3046,1199,hiking,Search,2,Catalog,5,Hiking,3,30,50,2
648505,3071,1199,Kirghizia Pamir Pik Lenin,Trip,3,undetected,-1,rafting,24,30,30,1
648507,3071,1199,Kirghizia Pamir Pik Lenin,Trip,3,undetected,-1,rafting,24,30,62,3
648508,3044,1200,TravelAgency,Info,1,homepage,1,In general,1000,60,60,1
648509,3065,1200,CATALOG,Info,4,Send catalog,7,In general,1000,120,203,2
648510,3072,1201,Russia Caucasus Elbrus (5663 m) bus,Trip,3,undetected,-1,Hiking,3,30,30,1
648511,3044,1202,TravelAgency,Info,1,homepage,1,In general,1000,30,30,1
648512,3073,1203,stay,Search,2,KW,4,In general,1000,120,120,1
648513,3074,1203,cycling abroad,Search,2,Catalog,5,cyclo,4,30,50,2
648514,3044,1204,TravelAgency,Info,1,homepage,1,In general,1000,30,30,1
648516,3056,1204,stays with trips,Search,2,Catalog,5,Stays with trips,6,30,62,3
648515,3075,1204,WHOWEARE,Info,4,Who we are,10,In general,1000,60,101,2
648517,3076,1204,Spain French Riviera,Trip,3,undetected,-1,Stays with trips,6,60,143,4
648518,3077,1204,Magic Spanish Andalusia,Trip,3,undetected,-1,Stays with trips,6,30,78,5
648519,3064,1204,tours and holiday comes into hotel,Search,2,extension,3,In general,1000,30,83,6
648520,3044,1205,TravelAgency,Info,1,homepage,1,In general,1000,30,30,1
648521,3052,1205,Far tours,Search,2,Catalog,5,exotica,5,60,101,2
648522,3078,1205,Mexico Guatemala Belize Honduras,Trip,3,undetected,-1,exotica,5,30,62,3
648523,3079,1206,England London with a trip to Stonehenge and Oxford,Trip,3,undetected,-1,Tours with accommodation,8,30,30,1
648524,3044,1207,TravelAgency,Info,1,homepage,1,In general,1000,30,30,1
648525,3045,1207,tours with tents,Search,2,Catalog,5,Tourism,1,30,50,2
648526,3051,1207,National parks and thermal Hungary and Slovakia,Trip,3,undetected,-1,Tourism,1,120,251,3
648527,3065,1207,CATALOG,Info,4,Send catalog,7,In general,1000,30,71,4
648528,3044,1208,TravelAgency,Info,1,homepage,1,In general,1000,30,30,1
648529,3053,1209,light hiking,Search,2,Catalog,5,Neni,-1,30,30,1
648530,3052,1209,Far tours,Search,2,Catalog,5,exotica,5,60,101,2
648531,3080,1209,New Guinea cheaply !!!,Trip,3,undetected,-1,exotica,5,30,62,3
648532,3044,1210,TravelAgency,Info,1,homepage,1,In general,1000,60,60,1
648533,3067,1210,Aeolian Islands,Search,2,Catalog,5,Lipari,10,60,101,2
648534,3081,1210,Sicily Aeolian Islands with a visit to Sicily vacation residence with 05 trips,Trip,3,undetected,-1,Lipari,10,240,503,3
648535,3083,1210,Central volcanoes of southern Italy (Sicily Lipari),Trip,3,undetected,-1,Tourism,1,60,143,4
648536,3084,1210,volcanoes of central and southern Italy (Sicily Lipari) a tour,Trip,3,undetected,-1,Tours with accommodation,8,30,78,5
648537,3082,1211,sightseeing tours,Search,2,Catalog,5,Tours with accommodation,8,30,30,1
648538,3044,1212,TravelAgency,Info,1,homepage,1,In general,1000,30,30,1
648539,3045,1212,tours with tents,Search,2,Catalog,5,Tourism,1,120,203,2
648540,3085,1212,National parks and sea greece,Trip,3,undetected,-1,Tourism,1,30,62,3
648541,3086,1213,n news Trips,Info,4,sends news,6,In general,1000,60,60,1
648542,3087,1214,cycling abroad,Search,2,Catalog,5,cyclo,4,30,30,1
648543,3088,1215,Hungary Thermal Spa Harkany,Trip,3,undetected,-1,Stays with trips,6,30,30,1
648544,3044,1216,TravelAgency,Info,1,homepage,1,In general,1000,60,60,1
648545,3054,1216,Corsica,Search,2,Catalog,5,Corsica,11,30,50,2
648546,3089,1216,Bulgaria,Search,2,Catalog,5,Bulgaria,15,60,125,3
648550,3082,1216,sightseeing tours,Search,2,Catalog,5,Tours with accommodation,8,60,176,7
