VisitID,Referrer,Day,Hour,Length_seconds,Length_pagecount
1185,URI_9,Sunday,23,0,6
1186,URI_38,Sunday,23,300,2
1187,URI_0,Sunday,23,240,12
1188,URI_45,Monday,0,0,1
1189,URI_0,Monday,0,540,7
1190,URI_45,Monday,0,180,2
1191,URI_45,Monday,0,0,1
1192,URI_9,Monday,1,300,8
1193,URI_0,Monday,1,0,1
1194,URI_80,Monday,3,0,1
1195,URI_45,Monday,4,0,1
1196,URI_138,Monday,5,0,1
1197,URI_45,Monday,5,0,1
1198,URI_45,Monday,5,0,1
1199,URI_80,Monday,6,0,3
1200,URI_16,Monday,6,60,2
1201,URI_80,Monday,6,0,1
1202,URI_39,Monday,7,0,1
1203,URI_44,Monday,7,120,2
1204,URI_80,Monday,7,120,6
1205,URI_42,Monday,7,60,3
1206,URI_89,Monday,7,0,1
1207,URI_93,Monday,7,120,4
1208,URI_30,Monday,8,0,1
1209,URI_80,Monday,8,60,3
1210,URI_101,Monday,8,420,5
1211,URI_20,Monday,8,0,1
1212,URI_9,Monday,8,120,3
1213,URI_45,Monday,8,0,1
1214,URI_45,Monday,8,0,1
1215,URI_80,Monday,8,0,1
1216,URI_42,Monday,9,1200,11
1217,URI_132,Monday,8,0,1
1218,URI_42,Monday,8,120,3
1219,URI_39,Monday,8,120,4
1220,URI_138,Monday,8,0,1
1221,URI_0,Monday,8,0,1
1222,URI_0,Monday,8,0,1
1223,URI_42,Monday,9,0,1
1224,URI_0,Monday,9,60,2
1225,URI_0,Monday,9,0,1
1226,URI_0,Monday,9,60,2
1227,URI_0,Monday,9,0,1
1228,URI_45,Monday,9,240,3
1229,URI_42,Monday,9,0,1
1230,URI_42,Monday,9,240,4
1231,URI_45,Monday,9,0,1
1232,URI_45,Monday,9,0,1
1233,URI_0,Monday,9,60,5
1234,URI_111,Monday,9,0,1
1235,URI_45,Monday,9,0,1
1236,URI_42,Monday,9,0,1
1237,URI_39,Monday,9,0,1
1238,URI_0,Monday,9,300,5
1239,URI_0,Monday,9,0,2
1240,URI_0,Monday,9,0,1
1241,URI_0,Monday,9,0,2
1242,URI_45,Monday,9,0,1
1243,URI_39,Monday,9,0,1
1244,URI_38,Monday,9,0,1
1245,URI_45,Monday,9,0,1
1246,URI_0,Monday,9,0,1
1247,URI_68,Monday,9,0,1
1248,URI_45,Monday,9,0,1
1249,URI_42,Monday,9,0,2
1250,URI_80,Monday,9,0,1
1251,URI_9,Monday,9,0,1
1252,URI_42,Monday,9,0,2
1253,URI_73,Monday,9,180,5
1254,URI_0,Monday,9,0,1
1255,URI_111,Monday,9,0,1
1256,URI_0,Monday,10,120,5
1257,URI_80,Monday,10,180,3
1258,URI_118,Monday,10,120,3
1259,URI_45,Monday,10,300,7
1260,URI_80,Monday,10,180,5
1261,URI_45,Monday,10,0,1
1262,URI_0,Monday,10,0,1
1263,URI_0,Monday,10,0,1
1264,URI_0,Monday,10,120,3
1265,URI_38,Monday,10,0,1
1266,URI_0,Monday,10,0,1
1267,URI_42,Monday,10,0,2
1268,URI_0,Monday,10,60,4
1269,URI_0,Monday,10,0,1
1270,URI_0,Monday,10,0,1
1271,URI_80,Monday,10,0,1
1272,URI_80,Monday,10,0,1
1273,URI_39,Monday,10,0,2
1274,URI_0,Monday,11,1080,6
1275,URI_0,Monday,10,0,1
1276,URI_0,Monday,11,840,5
1277,URI_0,Monday,10,120,4
1278,URI_0,Monday,10,60,3
1279,URI_42,Monday,10,0,4
1280,URI_0,Monday,10,540,8
1281,URI_0,Monday,10,60,2
1282,URI_80,Monday,10,0,1
1283,URI_0,Monday,10,0,1
1284,URI_0,Monday,10,240,3
1285,URI_0,Monday,11,240,3
1286,URI_0,Monday,11,0,1
1287,URI_80,Monday,11,0,1
1288,URI_45,Monday,11,0,1
1289,URI_119,Monday,11,0,1
1290,URI_111,Monday,11,0,2
1291,URI_44,Monday,11,0,1
1292,URI_0,Monday,11,780,9
1293,URI_93,Monday,11,0,1
1294,URI_111,Monday,11,120,4
1295,URI_80,Monday,11,540,10
1296,URI_80,Monday,11,660,3
1297,URI_0,Monday,11,0,1
1298,URI_9,Monday,11,900,5
1299,URI_45,Monday,11,360,5
1300,URI_0,Monday,11,0,1
1301,URI_45,Monday,11,0,1
1302,URI_0,Monday,11,0,1
1303,URI_0,Monday,11,840,8
1304,URI_138,Monday,11,300,5
1305,URI_0,Monday,11,1020,4
1306,URI_0,Monday,11,60,2
1307,URI_0,Monday,11,0,1
1308,URI_0,Monday,11,240,4
1309,URI_0,Monday,11,0,1
1310,URI_45,Monday,11,0,1
1311,URI_0,Monday,11,60,4
