inst;succ A;succ B;of;steps A;steps B;awg fined A;awg fined B;mu A;sig^2 A;mu B;sig^2 B;xing;winner
gen-1;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-2;246;531;1000;1319.77;1058.78;11498.8;7390.28;7.0889;0.314974;6.75734;46.3056;2;B
gen-3;638;848;1000;965.445;635.789;5852.44;2687.79;6.65181;0.587466;6.10557;38.1156;49;B
gen-4;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-5;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-6;1000;1000;1000;147.034;68.175;147.034;68.175;4.63391;0.771789;3.94588;16.1432;999;A
gen-7;974;1000;1000;391.31;211.381;742.31;211.381;5.51039;1.02606;5.0103;25.8468;794;B
gen-8;918;979;1000;514.93;330.5;1621.93;614;5.80271;1.04123;5.30415;29.2008;1;B
gen-9;788;891;1000;754.028;587.13;3616.03;2058.63;6.21895;1.12849;5.89168;35.994;136;B
gen-10;274;484;1000;1297.07;1105.73;11098.1;8071.73;7.05582;0.370416;6.78683;46.7974;1;B
gen-11;991;994;1000;285.234;189.629;406.734;270.629;5.22306;0.929937;4.7697;23.6746;992;B
gen-12;987;998;1000;355.184;209.418;530.684;236.418;5.48884;0.872109;4.92677;25.1706;805;B
gen-13;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-14;1000;1000;1000;49.983;32.271;49.983;32.271;3.56232;0.726178;3.18299;10.7423;741;B
gen-15;1000;1000;1000;178.751;102.512;178.751;102.512;4.72257;1.0718;4.07803;17.7672;999;A
gen-16;983;1000;1000;349.904;163.562;579.404;163.562;5.50477;0.753853;4.8273;23.8613;833;B
gen-17;1000;1000;1000;105.394;58.432;105.394;58.432;3.96945;1.54823;3.35313;12.6631;42;A
gen-18;989;1000;1000;399.08;231.236;547.58;231.236;5.6747;0.706252;5.15577;27.1884;985;B
gen-19;0;0;1000;1500;1500;15000;15000;7.31322;1.49989e-13;7.31322;53.5367;0;A
gen-20;983;999;1000;408.558;222.693;638.058;236.193;5.67658;0.752089;5.14363;27.0203;879;B
gen-21;625;905;1000;986.752;609.476;6049.25;1891.98;6.66604;0.631989;6.05765;37.5859;4;B
